feature_id,feature_display,name,mz,rt,logFC,adj.P.Val,dataset
OUYCCCASQSFEME-UHFFFAOYNA-N,Tyrosine,Tyrosine,182.08057,5.549,2.01965341,0.000840195578492164,metabolomics
FMJSMJQBSVNSBF-UHFFFAOYSA-N,Octocrylene,Octocrylene,362.21014,2.34,-1.7374809266666702,0.0008451701026649657,metabolomics
VJJPUSNTGOMMGY-UHFFFAOYNA-N,Etoposide,Etoposide,587.1778,1.802,1.1086239166666658,0.0008568444587538861,metabolomics
MVWXLRYZCZSBKW-OQLLNIDSSA-N,"1,6-dihydroxy-8-(hydroxym... 1","1,6-dihydroxy-8-(hydroxymethyl)-4,12,12,15-tetramethyl-13-[(2-methylpropanoyl)oxy]-5-oxotetracyclo[8.5.0.0?,?.0??,??]pentadeca-3,8-dien-14-yl (2E)-2-methylbut-2-enoate_major",534.30255,2.477,-2.433220426666672,0.0008634211255417579,metabolomics
ZQYUKJFJPJDMMR-ZDWCHQGWSA-N,glycohyocholic acid,glycohyocholic acid,430.28745,6.355,-1.3037700433333337,0.0008634882670706393,metabolomics
XRASPMIURGNCCH-UHFFFAOYSA-N,Zoledronic acid,Zoledronic acid,270.99124,1.49,1.4418164066666677,0.0008682783885281687,metabolomics
VVIUBCNYACGLLV-UHFFFAOYSA-N,HYPOTAURINE,HYPOTAURINE,110.02652,10.393,1.373463836666673,0.0008682783885281687,metabolomics
RZVAJINKPMORJF-UHFFFAOYSA-N,Acetaminophen,Acetaminophen,152.06943,5.809,1.4384093366666626,0.0008973466955265531,metabolomics
FUQAYSQLAOJBBC-UHFFFAOYSA-N,Beta-Caryophyllene Alcohol,Beta-Caryophyllene Alcohol,240.22864,4.256,1.0384914599999997,0.0008999745468862934,metabolomics
BQBCIBCLXBKYHW-UHFFFAOYNA-N,Threonylleucine (isomer of,"Threonylleucine (isomer of 925, 926)",233.14803,3.195,1.0534273733333386,0.000901219606150758,metabolomics
LQIHCTVXRQRKEH-UHFFFAOYSA-N,NCGC00381174-01!3-hydroxy...,NCGC00381174-01!3-hydroxy-2-[[3-(3-hydroxy-6-methyloctanoyl)oxy-8-methylnonanoyl]amino]propanoic acid [IIN-based: Match],449.32022,2.129,-1.2297254700000018,0.000901219606150758,metabolomics
CUAPOUHDJKWLOB-UHFFFAOYSA-N,NCGC00384966-01_C14H22O4_...,"NCGC00384966-01_C14H22O4_3-Hydroxy-1a,5-bis(hydroxymethyl)-5,6b-dimethyloctahydrocyclopropa[e]inden-2(1H)-one",237.14642,1.685,0.9942892400000004,0.0009301016095499804,metabolomics
RWCOTTLHDJWHRS-UHFFFAOYSA-N,Prolylproline 1,Prolylproline,213.12131,8.091,1.4646953866666692,0.0009308274636178427,metabolomics
